"SRR1039508","SRR1039509","SRR1039510","SRR1039511","SRR1039512","SRR1039513","SRR1039514","SRR1039515","SRR1039516","SRR1039517","SRR1039518","SRR1039519","SRR1039520","SRR1039521","SRR1039522","SRR1039523"
126.707,94.337,106.991,90.663,122.154,88.735,131.787,82.86,116.078,161.534,159.136,74.305,94.767,84.447,126.144,177.835
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
201.707,222.17,195.423,242.455,534.447,142.457,472.455,266.22,575.05,634.605,649.491,355.752,335.583,334.688,500.609,406.468
0,0,2,1,1,0,2,0,2,1,0,0,2,0,3,0
0,0,0,1,0,2,2.107,1,0,0,1,1,0,1,0,1
25.974,43.622,36.824,28.026,55.075,46.578,82.792,45.686,72.354,79.707,35.26,43.01,46.577,25.997,60.376,68.377
0,0,0,0,0,0,0,0,4.363,0,0,0,0,0,0,0
19.692,17.028,25.493,15.295,8.602,10.251,16.649,0,0,26.619,14.313,14.405,6.47,5.973,15.757,21.802
5.345,0,4.337,6.523,3.259,3.239,4.277,2.313,13.158,14.2,10.945,9.742,3.244,5.297,0,5.354
8.204,8.058,0,0,27.877,0,0,0,8.388,0,45.361,0,8.381,0,43.643,0
3.497,4.214,0,2,10.778,7.193,17.538,7.242,5.504,89.44,69.691,4,8.885,14.015,4,24.992
2,140.961,2,153.524,0,55.316,123.411,11.342,0,31.857,49.81,0,0,85.553,2.187,133.1
2.07,49.351,0,50.8,0,19.043,0,8.303,0,15.558,21.331,0,1.161,18.948,0,29.984
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.121,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
199.947,58.159,131.321,57.869,137.547,28.59,141.333,138.174,88.45,112.272,115.997,217.406,225.128,111.121,262.304,89.01
157.221,66.42,106.483,52.854,159.675,18.191,124.746,132.634,128.412,89.127,151.884,106.75,160.033,70.634,215.406,166.466
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.966,0,0,0,0,0,0,0,4.957,4.664,0,0,0,0,0,6.496
0,0,0,0,0,0,2.952,0,0,0,0,0,0,0,1.201,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212.266,195.596,220.929,221.352,47.443,13.519,52.47,41.186,112.394,67.738,64.966,87.228,180.616,223.849,290.022,240.485
21,10,20,18,13,5,18,12.31,12,17,12,10,14,13,7,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.272,25.456,33.742,23.184,18.624,19.035,30.295,22.032,23.829,39.088,44.358,25.781,15.35,39.289,28.858,35.068
352.926,290.178,295.159,206.465,446.478,177.559,438.861,257.168,505.235,515.351,530.868,332.802,240.709,248.023,342.836,401.264
8378.974,7256.223,8147.622,7707.886,7444.155,4242.353,9881.937,6094.123,6158.431,7385.409,8118.104,5661.489,5327.318,5249.431,7032.013,7078.424
107.527,59.078,119.659,75.387,148.643,107.388,237.569,81.623,139.646,137.013,147.201,95.602,109.542,141.021,140.248,89.285
5038.276,4001.28,5593.971,4902.798,5029.064,2609.065,7096.605,4810.92,6030.497,6489.829,5449.622,5308.529,4123.782,3964.476,5622.611,5143.592
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.314,2.875,5.047,2.564,1.898,0,0,2.545,9.145,2.634,1.204,5.365,0,1.849,8.042,9.623
19.307,0,0,4.218,0,0,0,24.709,0,0,0,27.691,0,0,0,0
0,1.786,2,0,6.222,2.807,8.463,2.758,7.496,26.56,7.309,4,4.115,5.005,4,11.008
21.731,0,0,0,263.162,0,0,0,205.125,254.386,0,0,41.579,38.999,0,151.891
0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.088
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.851,54,86,70.381,79,73.501,124.405,78.313,57.284,122.542,88.023,64.402,73.28,93.106,93.18,106.361
165.433,47.472,172.701,102.332,175.649,66.998,191.912,152.57,257.657,211.26,173.332,142.427,140.36,105.647,256.853,151.156
0,0,6.1,2,1,0,3,3,5.005,4,2.268,3.26,1.054,2,1.029,4
0,0,0,0,0,0,36.73,159.25,175.725,271.43,0,0,0,82.096,0,185.265
4.532,0,2.064,7.358,4.188,0,9.099,0,12.576,8.225,7.076,2.174,0,2.028,5.313,13.681
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.166,0,27.757,10.784,29.022,0,57.515,28.583,34.907,37.407,35.621,24.287,10.977,3.565,14.245,9.788
54.387,61.814,151.813,45.131,154.438,44.851,107.222,116.784,128.05,115.958,107.109,64.114,91.2,87.693,157.579,141.65
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,41.775,0,0,6.937,0,0,0,0,0,0,0,0,25.773,0
0,0,0,0,34.087,0,0,0,0,0,0,16.53,0,0,0,0
1782.851,1032.844,2869.797,1169.357,3142.907,643.027,3092.578,2494.215,4354.977,3317.836,2715.081,2728.826,2201.711,2174.933,3122.459,2593.739
0,0,0,0,3.381,0,0,0,3.595,0,0,3.093,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0
23.793,10,0,0,0,32.742,83.1,0,0,44.376,0,24.137,0,29.126,41.148,46.711
71,50,80.008,65,74,40,125.002,85,77,82,79.131,65,65,69.002,73,105
196,158,194.2,158,259,148,313.428,217.042,204.001,172,182.999,151,211,168,241,250
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,2.08,0,0,0,1.879,0,0,6.43,0,0,0,0,4.202
4.231,0,0,0,0,0,0,0,14.424,0,0,0,0,0,0,0
0,0,0,2.265,1.421,1.31,2.505,2.317,0,20.941,0,0,0,0,3.053,0
82,37,84,47,125,36.014,133,115.001,115.008,117,114,81,53,37,89,92
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.203,39.149,41.392,45.61,21.203,14.168,82.634,35.805,41.738,60.053,28.925,49.722,26.291,46.384,33.584,34.664
0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.897,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.018,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.855,111.46,91.604,115.834,100.402,73.987,93.88,81.074,100.227,149.713,195.81,72.091,128.386,80.8,134.048,138.089
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290.987,284.861,275.356,330.335,151.357,79.327,192.582,131.679,133.211,153.241,147.561,86.187,187.584,271.757,298.187,311.973
322.374,294.415,289.662,297.934,182.643,108.673,255.42,136.322,135.794,223.762,166.439,118.813,232.416,286.243,307.65,352.393
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,1,1,0,2,2,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533.929,267.857,489.205,278.376,546.202,206.85,452.455,569.206,990.472,681.139,543.363,719.242,398.998,244.434,533.779,314.699
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.413,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545.821,707.904,432.116,477.966,557.514,296.494,740.437,372.557,526.069,899.277,649.392,554.433,402.396,643.211,582.601,506.571
455.391,185.269,308.975,517.854,222.738,533.726,756.65,256.68,424.782,441.381,607.708,408.077,327.683,521.205,542.896,642.701
1527.322,963.073,1364.007,1011.681,1749.34,785.431,1956.613,1323.283,1392.325,1838.698,1522.542,1112.959,1057.217,1150.013,1234.128,1476.137
337,417.003,432.999,495,467.034,299.257,835.059,481.078,228,325.115,352.028,214,288,429.368,407.163,628.004
