"SRR1039508","SRR1039509","SRR1039510","SRR1039511","SRR1039512","SRR1039513","SRR1039514","SRR1039515","SRR1039516","SRR1039517","SRR1039518","SRR1039519","SRR1039520","SRR1039521","SRR1039522","SRR1039523"
4.626179,4.364148,4.232376,3.463381,3.091426,9.017158,7.167881,3.670635,6.251912,6.480094,9.554663,6.268881,5.516372,4.975446,6.513993,6.665908
27.285798,22.597137,26.270919,25.689763,28.130843,21.2447,28.649675,27.87404,27.193111,28.222633,26.569029,31.002244,26.20305,22.001544,27.853752,24.634356
3.642105,4.607067,5.435633,5.119853,4.686448,3.338196,4.094607,6.960765,1.153682,2.733935,3.421113,3.568442,7.819044,16.389879,8.483659,13.140492
0,0.165712,0,0,0.207838,0.330716,0.249932,0.2185,0,0.098316,0,0,0,0.158547,0,0
0,0,0,0.197356,0,0,0.212979,0.189679,0,0.190435,0,0,0.198088,0.169192,0.11803,0.678086
0,0,0,0,0,0,0.019927,0,0,0,0,0,0,0,0,0.024898
0,0,0.011608,0,0,0,0,0.012179,0.009861,0,0,0.012721,0,0,0,0
0,0.288178,0.180264,0.282863,0.493912,0.386796,0.256101,0,0.206941,0.344381,0.127811,0.347701,0.185609,0,0.214994,0.526341
10.717964,9.485605,12.386056,9.959041,10.150294,8.539808,8.957877,15.833963,11.147168,5.358832,7.944243,9.939533,15.066407,6.515714,11.376296,9.459372
7.030317,3.1875,8.086189,4.723632,7.524818,3.62723,5.143402,0.693677,6.097043,4.565888,6.15593,5.058348,6.824811,4.817664,6.636104,5.281662
44.991504,50.197714,43.85869,58.074324,46.534916,65.61636,53.708026,43.934835,52.182868,48.11602,42.699857,46.216854,43.691253,62.122102,49.696061,56.595246
0.264061,0.067126,0,0,0,0,0,0,0,0,0,0,0.213192,0,0.289713,0
2.452862,3.105078,2.739551,3.065729,2.589758,4.470904,4.29362,3.441331,2.285329,3.400813,2.822349,2.735691,2.560737,3.281099,2.756016,3.066027
25.369652,24.918307,22.44347,30.177471,18.895392,19.285324,19.77221,20.461529,19.652191,21.507273,21.289349,20.788027,23.330845,19.857911,22.48373,20.846336
